CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Y. Baltacioglu,Deputy Minister,2008-07-08,2008-07-08,1,Y. Baltacioglu
Ya'ara Saks,Member of Parliament,2020-11-25,2025-03-07,296,"Hon. Ya'ara Saks, Ms. Ya'ara Saks, M.P., The Honourable Ya'ara  Saks , The Honourable Ya'ara  Saks, P.C., M.P. , The Honourable Ya'ara  Saks, P.C., M.P.  , YA'ARA Saks, Ya 'ara Saks, Ya'ara  Saks, Ya'ara  Saks , Ya'ara Saks, Ya'ra Saks, Ya'raa Saks, Ya’ara  Saks, Ya’ara Sakas, Ya’ara Saks"
Yaa Cole,Policy Analyst,2020-07-10,2023-10-24,5,Yaa Cole
Yad Bhuller,"Acting Director General, Health Evaluation Directorate",2020-08-20,2020-08-20,1,Yad Bhuller
Yaelle Gang,"Special Assistant, Policy and Communications",2013-04-26,2015-04-30,82,"Yaelle Gang, yaelle gang"
Yaelle Gange,Executive Assistant,2013-06-06,2013-09-20,2,Yaelle Gange
Yaelle Sang,Policy Advisor,2013-11-29,2013-12-02,2,"Yaelle Sang, Yanelle Gang"
Yahya Alikhan,Legislative Assistant,2023-08-21,2024-02-09,3,Yahya Alikhan
Yakabuski John,Member of Parliament,2011-03-08,2011-03-08,1,Yakabuski John
Yamirka Gomez,Assistant to the Director General,2019-04-23,2019-04-23,1,Yamirka Gomez
Yan Foucher,Policy Advisor,2018-06-19,2024-02-16,3,Yan Foucher
Yan Plante,Chief of Staff,2010-02-25,2018-11-22,25,Yan Plante
Yan Poirier,Director,2016-02-23,2016-02-23,1,Yan Poirier
Yan William,Acting Director,2010-06-10,2010-06-10,1,Yan William
Yana Almer,Executive Assistant,2020-11-17,2025-02-25,10,"Yana  Almer, Yana Almer"
Yana Lukasheh,Parliamentary Affairs Advisor,2016-04-12,2017-05-18,5,Yana Lukasheh
Yana Titarenko,Director of Communications,2024-10-29,2024-10-29,1,Yana Titarenko
Yaneth Mahecha Bolanos,Policy Analyst,2025-02-24,2025-02-24,1,Yaneth Mahecha Bolanos
Yanick Clement-godbout,"Senior Program Manager, Retrofit Assessments",2009-07-09,2018-10-03,4,"Yanick Clement-Godbout, Yanick Clément-Godbout"
Yanick Gauthier,Advisor,2008-08-20,2008-08-27,2,Yanick Gauthier
Yanick Williams,Policy Advisor,2016-12-08,2016-12-08,1,Yanick Williams
Yanique Williams,Policy Advisor,2016-04-12,2020-10-09,162,"Ms. Yanique Williams, Yanique Williams, Yanique Willliams, Yannique Williams, yanique williams"
Yann Borgne,Special Assistant to the Parliamentary Secretary,2018-09-26,2019-01-30,9,"Yann La Borgne, Yann Le Borgne, Yann Le Bourne"
Yann Denis,"Manager, Industry and Academic Relations",2023-05-08,2024-10-30,6,Yann Denis
Yann Malara,"Manager, Project Management Office",2009-08-19,2009-08-19,1,Yann Malara
Yanne Messi Ngabelinga,Acting Director General,2021-04-27,2021-04-27,1,Yanne Messi Ngabelinga
Yannic Lamonde,Director,2021-06-18,2021-06-18,1,Yannic Lamonde
Yannick Beaudoin,Policy Analyst,2017-05-30,2017-05-30,1,Yannick Beaudoin
Yannick Beland,"Superintendent, Trois-Rivières Office",2024-02-27,2024-02-27,1,Yannick Béland
Yannick Cote-steben,Analyst-Economist,2024-11-12,2024-11-12,1,Yannick Cote-Steben
Yannick Hebert,Acting Director General,2017-10-10,2017-10-10,1,Yannick Hébert
Yannick Lacharite,"Director, Broadband Engineering, Mapping and Data Coordination",2020-10-01,2023-03-30,2,"Yannick Lacharite, Yannick Lacharité"
Yannick Leclair,Senior Policy Analyst,2011-11-01,2011-11-01,1,Yannick Leclair
Yannick Monaghan,Director,2024-12-17,2024-12-17,1,yannick Monaghan
Yannick Mondy,"Director, Trade and Tariff Policy",2015-11-18,2024-01-11,22,"Yannick  Mondy, Yannick Mondy, Yannick Mondy , Yannick Money"
Yannick Simard,Executive Assistant,2021-07-10,2021-07-10,1,Yannick Simard
Yannick Steben,Senior Economist,2024-12-11,2024-12-11,1,Yannick Steben
Yannick Williams,Director of Policy,2020-04-29,2020-04-29,1,Yannick Williams
Yannik Mondy,"Director, International Affairs Branch",2017-08-30,2017-08-30,1,Yannik Mondy
Yaprak Baltac&#305;o&#287;lu,Deputy Minister,2010-08-26,2010-08-26,1,Yaprak Baltac&#305;o&#287;lu
Yaprak Baltacio&#287;lu,Deputy Minister,2009-10-28,2011-07-20,3,Yaprak Baltacio&#287;lu
Yaprak Baltacioglu,Deputy Minister,2008-07-08,2017-12-11,185,"Ms. Yaprak Baltacioglu, YAPRAK BALTACIOGLU, Yaprack Baltacioglu, Yaprah Baltacioglu, Yaprak , Baltacioglu, Yaprak Baltachioglu, Yaprak Baltaciaglu, Yaprak Baltacioglu, Yaprak Baltacioglu,, Yaprak Baltaciogly, Yaprak Baltaciolglu, Yaprak Baltaciouglu, Yaprak Balticioglu, Yaprak Baltocioglu"
Yaprak Baltigioulu,Deputy Minister,2008-07-09,2008-07-09,9,"Yaprak Baltigioulu, yaprak Baltigioulu"
Yarko Petryshyn,Senior Policy Advisor,2018-10-29,2019-05-29,29,Yarko Petryshyn
Yarko Petryshyn Petryshyn,Senior Policy Advisor,2019-06-19,2019-06-19,1,Yarko Petryshyn Petryshyn
Yaroslav Baran,Chief of Staff,2008-07-10,2009-08-28,3,Yaroslav Baran
Yaseen Abdulhai,Parliamentary Intern,2021-06-28,2021-06-28,1,Yaseen Abdulhai
Yash Dogra,Policy Advisor,2021-12-07,2021-12-07,3,"Yash Dogra, Yasha Dogra"
Yash Nanda,Policy Advisor,2019-07-05,2025-06-12,503,"Yash  Nanda, Yash Nanda, Yash Nanda "
Yasir Naqv,Parliamentary Secretary,2024-10-22,2024-10-22,1,Yasir Naqv
Yasir Naqvi,Member of Parliament,2016-08-08,2025-06-03,236,"Yasir  Naqvi, Yasir  Naqvi , Yasir Naqvi, yasir Naqvi, yasir naqvi"
